per_code,moe_code,stu_a3,stu_a1,stu_a2,stu_p1,stu_p2,stu_p3,stu_p4,stu_p5,stu_p6,stu_m1,stu_m2,stu_m3,stu_m4,stu_m5,stu_m6,stu_c1,stu_c2,stu_c3,room_a3,room_a1,room_a2,room_p1,room_p2,room_p3,room_p4,room_p5,room_p6,room_m1,room_m2,room_m3,room_m4,room_m5,room_m6,room_c1,room_c2,room_c3,room_real,student_real,room_stand,size_school,room_a3s,room_a1s,room_a2s,room_p1s,room_p2s,room_p3s,room_p4s,room_p5s,room_p6s,room_m1s,room_m2s,room_m3s,room_m4s,room_m5s,room_m6s,room_c1s,room_c2s,room_c3s
270194,1013270194,0,0,0,0,0,0,0,0,0,333,372,370,365,348,374,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,11,11,11,0,0,0,63,2162,58,6,0,0,0,0,0,0,0,0,0,9,10,10,10,9,10,0,0,0
270195,1013270195,0,0,0,0,0,0,0,0,0,67,120,94,81,122,102,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,4,0,0,0,23,586,18,5,0,0,0,0,0,0,0,0,0,2,3,3,3,4,3,0,0,0
310399,1014310399,0,0,0,0,0,0,0,0,0,633,657,677,694,700,781,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,18,18,19,0,0,0,103,4142,106,7,0,0,0,0,0,0,0,0,0,16,17,17,18,18,20,0,0,0
310400,1014310400,0,0,0,0,0,0,0,0,0,575,524,585,497,437,469,0,0,0,0,0,0,0,0,0,0,0,0,15,14,14,13,12,12,0,0,0,80,3087,80,7,0,0,0,0,0,0,0,0,0,15,14,15,13,11,12,0,0,0
310401,1014310401,0,0,0,0,0,0,0,0,0,455,457,454,365,371,327,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,9,9,8,0,0,0,59,2429,65,6,0,0,0,0,0,0,0,0,0,12,12,12,10,10,9,0,0,0
310402,1014310402,0,0,0,0,0,0,0,0,0,24,23,31,44,32,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,6,177,7,2,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0
310403,1014310403,0,0,0,0,0,0,0,0,0,303,311,303,226,228,148,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,6,6,6,0,0,0,48,1519,40,6,0,0,0,0,0,0,0,0,0,8,8,8,6,6,4,0,0,0
310404,1014310404,0,0,0,0,0,0,0,0,0,34,25,31,39,13,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,9,151,6,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
310405,1014310405,0,0,0,0,0,0,0,0,0,185,135,141,119,80,53,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,3,2,0,0,0,21,713,20,5,0,0,0,0,0,0,0,0,0,5,4,4,3,2,2,0,0,0
310406,1014310406,0,0,0,0,0,0,0,0,0,53,56,59,50,52,51,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,12,321,12,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0
310412,1014310412,0,0,0,0,0,0,0,0,0,237,193,233,166,134,122,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,5,4,4,0,0,0,31,1085,30,5,0,0,0,0,0,0,0,0,0,6,5,6,5,4,4,0,0,0
310416,1014310416,0,0,0,0,0,0,0,0,0,252,253,253,208,190,182,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,5,5,5,0,0,0,39,1338,37,5,0,0,0,0,0,0,0,0,0,7,7,7,6,5,5,0,0,0
310418,1014310418,0,0,0,0,0,0,0,0,0,157,113,112,163,147,132,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,4,0,0,0,26,824,23,5,0,0,0,0,0,0,0,0,0,4,3,3,5,4,4,0,0,0
310419,1014310419,0,0,0,0,0,0,0,0,0,119,154,134,129,106,89,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,4,4,0,0,0,23,731,21,5,0,0,0,0,0,0,0,0,0,3,4,4,4,3,3,0,0,0
310424,1014310424,0,0,0,0,0,0,0,0,0,194,179,184,109,106,104,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,3,3,3,0,0,0,24,876,24,5,0,0,0,0,0,0,0,0,0,5,5,5,3,3,3,0,0,0
310425,1014310425,0,0,0,0,0,0,0,0,0,23,27,30,20,17,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,9,124,6,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
310426,1014310426,0,0,0,0,0,0,0,0,0,15,24,22,19,19,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,9,114,6,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
310427,1014310427,0,0,0,0,0,0,0,0,0,24,35,56,32,35,32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,10,214,7,3,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0
310407,1014310407,0,0,0,0,0,0,0,0,0,112,105,103,88,75,62,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,0,0,0,16,545,16,5,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,0,0,0
310408,1014310408,0,0,0,0,0,0,0,0,0,45,56,56,55,43,34,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,12,289,11,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0
310409,1014310409,0,0,0,0,0,0,0,0,0,415,431,424,329,297,280,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,8,8,7,0,0,0,56,2176,57,6,0,0,0,0,0,0,0,0,0,11,11,11,9,8,7,0,0,0
310410,1014310410,0,0,0,0,0,0,0,0,0,63,104,82,114,84,70,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,18,517,16,5,0,0,0,0,0,0,0,0,0,2,3,3,3,3,2,0,0,0
310411,1014310411,0,0,0,0,0,0,0,0,0,56,54,43,34,27,27,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,9,241,9,3,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0
310413,1014310413,0,0,0,0,0,0,0,0,0,124,127,127,108,134,80,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,3,0,0,0,22,700,21,5,0,0,0,0,0,0,0,0,0,4,4,4,3,4,2,0,0,0
310414,1014310414,0,0,0,0,0,0,0,0,0,22,34,20,20,18,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,6,134,6,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
310415,1014310415,0,0,0,0,0,0,0,0,0,45,48,53,40,21,38,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,12,245,9,3,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0
310417,1014310417,0,0,0,0,0,0,0,0,0,132,125,136,116,107,84,24,18,9,0,0,0,0,0,0,0,0,0,4,4,4,3,3,3,1,1,1,24,751,24,5,0,0,0,0,0,0,0,0,0,4,4,4,3,3,3,1,1,1
310420,1014310420,0,0,0,0,0,0,0,0,0,361,349,354,355,346,328,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,0,0,0,54,2093,55,6,0,0,0,0,0,0,0,0,0,10,9,9,9,9,9,0,0,0
